iter	Passed	Remaining
0	72	71993
1	80	40178
2	85	28578
3	91	22717
4	100	1990355	107	1789666	113	16057	7	119	14758	8	125	1381999	131	13001110	140	12621111	146	12061112	154	1169113	161	113981114	167	10971115	173	10691116	180	10441717	186	1020118	193	9971119	202	9902220	208	9739221	217	9689222	226	9608
23	229	9338224	234	9137225	240	9004226	247	8906227	253	8810228	260	8710229	268	8675330	274	8579331	282	8558332	291	8537333	301	8568
34	307	8468335	314	8419
36	320	8350
37	324	8212
38	336	8290
39	343	8233
40	351	8221
41	358	8170
42	364	8118
43	371	8077
44	378	8025
45	385	7989
46	395	8011
47	400	7951
48	407	7910
49	415	7899
50	421	7845
51	428	7819
52	437	7817
53	446	7814
54	453	7791
55	462	7800
56	468	7752
57	472	58	4758	476	59	481	7538
60	492	7580
61	496	7514
62	504	7498
63	512	7497
64	517	7438
65	522	7396
66	530	7390
67	537	7365
68	544	7347
6969	550	73170	556	7283
71	563	7258
7272	571	7257373	577	7227474	616	7597575	633	7697676	641	7697777	647	7657878	654	7637979	661	7608080	669	75981	673	7542
82	679	7512
83	686	7482
84	696	7498
85	703	7474
86	711	7466
87	720	7466
88	728	7460
89	740	7488
90	749	7491
91	756	7467
92	763	7443
93	768	7408
94	773	7370
95	780	7347
96	788	7336
97	797	7339
98	805	7333
99	822	7402
100	834	7428
101	852	7504
102	863	7515
103	868	7483
104	875	7459
105	882	7445
106	888	7417
107	894	7385
108	898	7344
109	903	7310
110	908	7275
111	917	7272
112	926	7269
113	931	7241
114	939	7226
115	944	7200
116	948	7154
117	954	7134
118	962	7123
119	967	7095
120	977	7099
121	983	7081
122	988	7051
123	997	7044
124	1003	7022
125	1007	6991
126	1016	6984
127	1024	6980
128	1032	6971
129	1039	6954
130	1044	6928
131	1050	6909
132	132	1062	6133	1066	6892
134	134	1076	6135	1081	6870
136	1090	6871
137	1097	6852
138	1106	6854
139	1114	6845
140	1121	6833
141	141	1133	6142	142	1143	6143	143	1156	6144	144	1162	6145	145	1177	6146	146	1185	6147	147	1199	6148	1208	6901
149	1216	6892
150	150	1226	6151	151	1232	6152	152	1242	6153	153	1250	6154	154	1256	6155	155	1263	6156	156	1271	6157	1278	6810
158	1288	6812
159	1295	6802
160	160	1308	6161	161	1317	6162	162	1326	6163	163	1334	6164	164	1345	6807
165	1353	6802
166	1362	6795
167	1371	6792
168	1377	6774
169	1387	6774
170	1399	6783
171	1405	6766
172	1413	6755
173	1420	6741
174	1426	6175	175	1435	6176	176	1443	6177	177	1448	6178	178	1458	6179	179	1468	6180	180	1478	6689
181	1485	6676
182	1492	6183	183	1500	6184	184	1511	6658
185	1519	6649
186	1527	6641
187	1532	6620
188	1539	6189	189	1545	6190	190	1552	6574
191	1558	6558
192	1566	6548
193	1572	6194	194	1581	6195	195	1588	6196	196	1596	6197	197	1604	6198	198	1611	6199	199	1619	6200	1625	6462
201	1632	6450
202	1639	6437
203	203	1649	6204	204	1657	6205	205	1666	6206	206	1673	6207	207	1681	6208	208	1689	6209	209	1697	6210	210	1705	6211	211	1712	6212	212	1718	6213	213	1725	6214	214	1732	6215	215	1739	6216	1744	6295
217	217	1752	6218	218	1765	6219	219	1774	6220	220	1781	6221	221	1787	6222	222	1796	6223	223	1802	6224	1810	6234
225	1815	6217
226	1824	6211
227	1831	6201
228	1839	6191
229	1849	6191
230	1859	6191
231	1869	6189
232	1878	6183
233	1888	6182
234	1896	6173
235	1904	6164
236	1911	6154
237	1920	6148
238	1926	6132
239	1933	6123
240	1940	6109
241	1949	6105
242	1956	6096
243	1964	6085
244	1969	6070
245	1977	6061
246	1984	6050
247	1991	6039
248	2000	6034
249	2009	6029
250	2017	6020
251	2024	6008
252	252	2029	5253	2036	5982
254	2049	5987
255	2055	5974
256	2063	5964
257	2071	5957
258	2077	5942
259	2083	5929
260	2088	5914
261	2099	5914
262	2108	5909
263	2114	5895
264	2122	5886
265	2129	5876
266	2137	5867
267	2144	5856
268	2151	5845
269	2159	5838
270	2169	5835
271	2176	5824
272	2183	5814
273	2190	5803
274	2199	5799
275	2207	5791
276	2213	5776
277	2218	5761
278	2226	5753
279	2234	5746
280	2246	5749
281	2254	5740
282	2263	5734
283	2268	5718
284	2278	5715
285	2287	5711
286	2294	5700
287	2300	5688
288	2308	5678
289	2315	5669
290	2325	5666
291	2331	5652
292	2338	5643
293	2345	5632
294	2352	5621
295	2359	5612
296	2365	5599
297	2374	5592
298	2385	5593
299	2393	5584
300	2399	5573
301	2408	5565
302	2417	5562
303	2431	5567
304	2441	5562
305	2458	5576
306	2474	5585
307	2481	5574
308	2485	5557
309	2491	5546
310	2497	5533
311	2503	5520
312	2508	5506
313	2513	5491
314	2518	5477
315	2526	5468
316	2532	5455
317	2542	5452
318	2549	5443
319	2555	5430
320	2562	5419
321	2573	5419
322	2582	5412
323	2589	5403
324	2597	5395
325	2606	5389
326	2614	5379
327	2621	5371
328	2629	5362
329	2634	5348
330	2639	5335
331	2646	5323
332	2655	5318
333	2660	5305
334	2666	5292
335	335	2672	5336	336	2680	5337	337	2688	5338	338	2697	5260
339	2707	5256
340	2715	5248
341	2723	5239
342	2729	5228
343	2740	5225
344	2747	5216
345	2753	5205
346	2761	5196
347	2770	5190
348	2776	5178
349	2783	5169
350	2792	5162
351	2803	5160
352	2812	5155
353	2821	5149
354	2828	5139
355	2836	5131
356	2845	5125
357	2854	5118
358	2862	5110
359	2872	5106
360	2879	5097
361	2887	5088
362	2897	5083
363	2903	5072
364	2910	5064
365	2916	5051
366	2924	5043
367	2932	5036
368	2939	5026
369	2949	5021
370	2959	5017
371	2965	5007
372	2972	4996
373	2982	4992
374	2989	4982
375	2997	4974
376	3004	4965
377	3014	4961
378	3023	4954
379	3034	4950
380	3041	4941
381	3051	4935
382	3059	4929
383	3069	4923
384	3076	4913
385	3083	4904
386	3089	4893
387	3095	4883
388	3104	4876
389	3113	4869
390	3118	4857
391	3125	4848
392	3132	4837
393	3138	4827
394	3145	4817
395	3151	4806
396	3156	4794
397	3165	4788
398	3173	4779
399	3178	4768
400	3185	4758
401	3191	4747
402	3201	4742
403	3208	4732
404	3219	4729
405	3228	4722
406	3234	4712
407	3249	4715
408	3258	4708
409	3265	4699
410	3274	4692
411	3283	4685
412	3290	4677
413	3298	4668
414	3306	4660
415	3315	4654
416	3324	4648
417	3330	4637
418	3335	4625
419	3345	4620
420	3352	4611
421	3359	4601
422	3369	4596
423	3376	4586
424	3387	4583
425	3395	4575
426	3404	4568
427	3410	4558
428	3418	4550
429	3425	4541
430	3434	4534
431	3442	4525
432	3453	4521
433	3459	4511
434	3465	4501
435	3474	4495
436	3486	4491
437	3494	4483
438	3502	4476
439	3510	4467
440	3520	4462
441	3529	4455
442	3537	4447
443	3547	4441
444	3554	4432
445	3563	4426
446	3573	4420
447	3581	4412
448	3587	4402
449	3597	4396
450	3606	4389
451	3615	4383
452	3621	4372
453	3627	4362
454	3634	4353
455	3643	4346
456	3656	4344
457	3663	4335
458	3672	4328
459	3680	4320
460	3692	4317
461	3701	4309
462	3709	4301
463	3718	4295
464	3726	4287
465	3733	4278
466	3740	4269
467	3748	4260
468	3756	4253
469	3764	4245
470	3770	4234
471	3778	4227
472	3785	4217
473	3791	4207
474	3801	4202
475	3807	4191
476	3814	4181
477	3824	4176
478	3829	4164
479	3842	4162
480	3854	4158
481	3864	4153
482	3873	4146
483	3884	4141
484	3893	4134
485	3901	4126
486	3910	4118
487	3917	4110
488	3927	4104
489	3935	4096
490	3942	4087
491	3948	4076
492	3957	4069
493	3966	4062
494	3974	4054
495	3983	4047
496	3992	4041
497	4001	4034
498	4009	4025
499	4018	4018
500	4028	4012
501	4038	4006
502	4046	3998
503	4053	3989
504	4064	3983
505	4072	3976
506	4081	3969
507	4092	3963
508	4102	3957
509	4116	3955
510	4126	3949
511	4138	3944
512	4145	3935
513	4160	3933
514	4169	3926
515	4180	3921
516	4194	3918
517	4204	3912
518	4217	3908
519	4225	3900
520	4231	3890
521	4241	3884
522	4250	3876
523	4259	3868
524	4268	3862
525	4275	3852
526	4282	3843
527	4288	3833
528	4296	3825
529	4305	3817
530	4310	3807
531	4321	3801
532	4328	3792
533	4333	3782
534	4342	3774
535	4350	3766
536	4358	3757
537	4371	3754
538	4383	3749
539	4396	3744
540	4408	3740
541	4418	3733
542	4432	3730
543	4447	3728
544	4457	3721
545	4468	3715
546	4480	3710
547	4487	3701
548	4493	3691
549	4512	3691
550	4523	3686
551	4538	3683
552	4549	3677
553	4559	3671
554	4567	3661
555	4572	3651
556	4580	3643
557	4589	3635
558	4599	3628
559	4612	3623
560	4619	3614
561	4628	3607
562	4633	3596
563	4643	3589
564	4649	3579
565	4654	3569
566	4663	3561
567	4668	3550
568	4679	3544
569	4687	3536
570	4695	3527
571	4702	3518
572	4711	3511
573	4719	3502
574	4728	3494
575	4735	3485
576	4746	3479
577	4758	3473
578	4766	3465
579	4774	3457
580	4783	3449
581	4792	3442
582	4800	3433
583	4808	3425
584	4816	3416
585	4826	3409
586	4834	3401
587	4839	3391
588	4851	3385
589	4861	3378
590	4867	3368
591	4874	3359
592	4884	3352
593	4890	3342
